0,people think believe say point like evidence make way question,284.889898939,123.856852815,208.086231915,89.637385031
1,image available version file software data graphics color program images,329.815378425,140.511766376,315.932135568,145.395784678
2,windows window using file program dos set run server running,379.716627031,159.313305773,293.842163677,133.967614445
3,think good year better game hit like time got team,271.064573885,115.44386706,233.825829871,95.2672083746
4,game team hockey win lost new games nhl play april,309.859856707,125.275313301,334.163367544,149.597211606
5,space launch nasa earth shuttle solar energy satellite mission data,432.271083961,191.93479525,407.920897984,185.908118416
6,book read article books know called reference time used written,261.778338627,111.865765336,268.467286915,110.96812851
7,medical health number study drug patients cancer disease new cause,361.852959292,150.779814717,374.554423815,160.000624077
8,car like bike new good engine used cars know really,326.295192285,125.99767495,252.903266917,97.2595054395
9,said went people told know came saw started took like,291.030767201,127.604434969,262.205825488,107.929279795
10,like think know people want going good really make say,288.21575812,126.99467926,184.353067832,83.6996277868
11,like good price looking sell buy know new want interested,334.170518947,138.731456656,235.819278786,96.587019611
12,information send list mail available email computer anonymous ftp address,405.89737182,158.154781064,303.408854899,137.856189039
13,armenian turkish armenians jews israel israeli war jewish people arab,429.971345045,175.276038632,379.856455377,169.860893568
14,god jesus bible church christian christians believe man faith people,366.990366469,152.622243336,310.06406439,136.618490714
15,power line file entry output current need used water number,312.518867844,132.057872104,303.910005025,127.68350276
16,key encryption chip government clipper security keys phone data used,446.414313959,172.111128803,325.863939438,146.003411863
17,drive disk card hard scsi mac video know bus drives,461.426691487,188.794406143,316.664940786,134.344949043
18,president new american national united said states general public going,225.376870553,94.526492284,301.017753028,131.447825241
19,gun government right people law police state rights fbi laws,323.680871595,125.517495487,305.623132693,131.915908034
